epoch,train_loss,val_loss,lr,elapsed_sec,timestamp
0,2.0277572444081304,1.655221092939377,4.52800106989152e-05,2609.014909029007,1766259404
1,1.7021664278507234,1.5982104036808014,4.198356540453256e-05,2611.3817410469055,1766262016
2,1.6017152451872825,1.5634733748435974,3.684923148607898e-05,2612.3155097961426,1766264630
3,1.5194201004505157,1.5393100543022156,3.0379593320500605e-05,2611.881851673126,1766267244
4,1.4484648801982403,1.5196109054088593,2.3207944168063906e-05,2610.694081544876,1766269856
5,1.3795875273644924,1.4891593408584596,1.603629501562721e-05,2611.023331642151,1766272469
6,1.3157621020674706,1.5060609238147735,9.566656850048836e-06,2611.298315525055,1766275082
7,1.2632914116382599,1.500642205953598,4.432322931595258e-06,2611.632858991623,1766277695
8,1.2296732949018478,1.497584478378296,1.1358776372126225e-06,2611.352692604065,1766280307
9,1.2100216001570225,1.4887374489307403,0.0,2610.7500188350677,1766282919
