epoch,train_loss,val_loss,val_mIoU,lr,timestamp
1,2.805393097639084,2.5960700340270995,0.0,0.0003,2025-12-25T00:39:14
2,2.620451918959618,2.603335875034332,5.2162852704344855e-09,0.0002926829491861254,2025-12-25T02:38:23
3,2.5548622442483904,2.5031464879512786,3.2910679115658425e-05,0.0002714480406590546,2025-12-25T04:37:30
4,2.477104275405407,2.431073512792587,0.00038147052274663636,0.0002383738952177247,2025-12-25T06:36:39
5,2.4256624386906624,2.409106603384018,0.001891826130840762,0.0001966980406590546,2025-12-25T08:35:46
6,2.3663943499326705,2.382466748714447,0.002801476957943454,0.00015049999999999997,2025-12-25T10:34:54
7,1.6497561286687852,1.6550513026714324,0.0034345678187207,0.0001,2025-12-26T19:51:43
8,1.6332169295549392,1.651096701860428,0.004995200760550962,6.005971592764389e-05,2025-12-26T21:50:39
9,1.616669724702835,1.6323883349895478,0.006569541905312783,2.8362927022752094e-05,2025-12-26T23:49:36
10,1.6044016759991646,1.6243641209602355,0.008158477659271125,8.012335827849662e-06,2025-12-27T01:48:33
